wave,curationPriorityBand,examRank,examTier,sourceFilename,questionNumber,page,primaryTopicId,primarySubtopicId,confidence,matchedTerms,style,stemExcerpt,questionHash,reviewDecision,reviewNote
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,53,15,dp26-p3-esp-bi,dp26-p3-esp-bi-dw-etl-olap,0.8,Data Warehouse,DIRECT_KNOWLEDGE,"O processo de tomada de decisão conta com ferramentas computacionais que otimizam e auxiliam gestores em diferentes níveis de atuação organizacional. No que se refere ao suporte de dados, os armazéns de dados (ou data warehouses) representam uma importante alternativa para o armazenamento de dados por conta de suas car",7c8dde18e492eae3630b97c8fc18992c2d7e9d08057b4bfc67ed7419105b85e3,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,33,11,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-padroes-reuso,0.78,Padrões GoF,CONCEPT_COMPARISON,"Queremos construir uma aplicação WEB em JAVA em três camadas. Sobre a utilização do padrão de projeto MVC nesta aplicação, assinale a afirmativa correta. (A) A primeira camada, ou camada de apresentação, e a segunda camada, ou camada de negócios, ambas implementam uma versão do MVC. (B) A camada de apresentação corresp",1b64857a4ff794273c2aed88af74dd35362e550f4ad8b16e01d0a6b26ddb723d,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,68,22,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-integridade,0.78,Integridade,DIRECT_KNOWLEDGE,"Seja o esquema de um banco de dados relacional seguinte, criado pelo usuário U1, que possui direito de criação de tabelas no ambiente: AUTOR ( id_autor <PK>, nome_autor ) RELATORIO ( id_rel <PK>, conteudo, id_autor <FK>, data_registro ) Restrições de integridade: Tabela AUTOR: id_autor é chave primária; nome_autor  NU",ef749da53d14131a069e4ce837c0d3b3603b0d0e9895e8c046434e38e0dc7eb0,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,41,13,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-arquitetura-software,0.645,API/interoperabilidade; Web services,DIRECT_KNOWLEDGE,"Pensando em uma implementação comum da API REST, assinale a opção que indica o principal princípio associado ao seu estilo arquitetural. (A) Comunicação bidirecional entre clientes e servidores. (B) Transferência de representações de recursos por meio de operações padrão (como GET, POST, PUT e DELETE). (C) Transferênci",1435f41449bcb30c88ebf96a72539fdc3e882b191f369d69e7c9b9d3d4dd42de,PENDING,
wave1,P1_PRIMARY,3,A2 - muito alta,analista_legislativo_desenvolvedor_de_sistemas.pdf,34,11,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-linguagens-frameworks,0.64,Java/JakartaEE,CODE_TRACE,"Analise o script Java a seguir. Ao executar o script acima, a saída no console será (A) JEE v8 & JDK 17: 5. (B) JEE v8 & JDK 17: 3. (C) JEE v8 & JDK 17: 8. (D) JEE v8 & JDK 17. (E) Erro de compilação.",b2907857bb5073fc63404640e91d384909f50c25adf44c55298824df0ca7e981,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,47,10,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-frontend,0.98,SPA/PWA,SCENARIO,"A Equipe de Gestão de Inovações (EGI) de uma organização vem estudando conceitos de estratégias para desenvolvimento de front-end de aplicações. Assim, decidiu desenvolver algumas pequenas soluções de software, na qualidade de testes dos conceitos, pautadas em Single-Page Application (SPA), e outras pautadas em Progres",4851a185123ff3cf0c5c518bbd5639ce549246132b1624804095b1756cd581a6,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,63,13,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-relacional-multidimensional,0.98,Relacional/multidimensional,DIRECT_KNOWLEDGE,"No sistema transacional da organização PrevData, há o registro dos pedidos de licença médica de todos os seus funcionários. Para apoiar as campanhas de prevenção, foi levantado o seguinte requisito analítico: quantidade de atestados de crise respiratória durante as estações do ano, ao longo dos últimos 10 anos. Para at",3cd183520b8d4b0ef78563022871520efa22efc4f8653cca9d6b1139170237ce,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,64,13,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-modelagem,0.98,Modelagem de dados,DIRECT_KNOWLEDGE,Observe a cardinalidade do seguinte diagrama de Entidade Relacionamento: A entidade A pode se relacionar com B: (A) três vezes; (B) uma ou muitas vezes; (C) uma ou nenhuma vez; (D) uma e apenas uma vez; (E) nenhuma ou muitas vezes.,93c9741a432eda3b0929bd25bf8b5d44cce67580a365e37b2146d3bba43ded91,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,69,13,dp26-p3-esp-gestao-governanca,dp26-p3-esp-gov-projetos,0.98,Projetos,DIRECT_KNOWLEDGE,"O analista Paulo foi designado gerente de um projeto no TRF1 e, desde o início de suas atividades, teve grandes conflitos com o patrocinador. Devido ao pouco prazo para a execução do contrato e à posição superior do patrocinador, e com intuito de manter com este um bom relacionamento, Paulo tem buscado resolver o confl",63962c92d9fa35e4b1751dfbfaba2e54c89dd5676bf80b9994937a1cb8f880fe,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,75,14,dp26-p3-esp-seguranca,dp26-p3-esp-si-politicas,0.98,Políticas/SGSI,SCENARIO,"A política de segurança da cibernética do Poder Judiciário (PSEC-PJ) tem por finalidade prover princípios, objetivos e instrumentos capazes de assegurar a segurança cibernética no Poder Judiciário. Dentre os instrumentos da PSEC-PJ, foi instituído o protocolo de gerenciamento de crises cibernéticas no âmbito do Poder J",03513b22ecf3a20945f406964019b0bff39ccf9b6c81b26ae59b9cbf5a648d6c,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,46,10,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-design-arquitetura,0.93,Containers,SCENARIO,"A Assessoria de Tecnologia da Informação de uma organização está usando Kubernetes como plataforma de orquestração de containers. O Kubernetes foi configurado para escalar automaticamente workloads no modo HorizontalPodAutoscaler (HPA). Sendo assim, o Kubernetes irá: (A) ajustar periodicamente o número de réplicas em u",c891de75333595616810bf787e37d5ea4bdeca830b19e56c754dfc637a13e569,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,43,9,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-metodologias-ageis,0.92,XP,DIRECT_KNOWLEDGE,"Os analistas do Time de Desenvolvimento de Software (TDS) estão utilizando User Story (História de Usuário) do Extreme Programming (XP) para todos os novos projetos, em substituição aos Casos de Uso em UML. Na escrita das User Stories, os analistas devem: (A) considerar que histórias podem ser construídas em mais de um",13ed9efed364eb287d3398aef763d3592fd9701fae0805c621b7e525118b76f0,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,44,10,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-metodologias-ageis,0.92,Kanban,SCENARIO,"O Time de Soluções Inovadoras (TISI) de uma organização está utilizando práticas do Kanban no processo de desenvolvimento de soluções de software. Com o uso do Kanban, o TISI visa a: (A) manter um workflow padrão para o processo de inovação; (B) gerenciar e melhorar o desempenho dos indivíduos do time; (C) estabelecer ",27778e20564d95b264f3f8286eb681915b0a59c9c258b0fe7857d5270fc4a60f,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,48,10,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-ux-cms,0.92,Acessibilidade,DIRECT_KNOWLEDGE,"A CERTI_Online é uma aplicação Web que viabiliza a solicitação de certidões e comprovantes para pessoas físicas. A CERTI_Online requer que o usuário se autentique para que possa preencher formulários para cada solicitação. Júlia, ao utilizar a CERT_ Online, precisou de bastante tempo para preencher um dos formulários. ",24563542426bfe3a21bd74d9b242805f8a65d00bc37adf6f522585d5bf190381,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,57,12,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-frontend,0.89,HTML/CSS/Ajax,DIRECT_KNOWLEDGE,"A analista Flávia está escrevendo as regras de Cascading Style Sheets (CSS) para uma página web. Flávia precisa que determinada regra seja aplicada aos elementos da página que possuam ambas as classes “redondo” e “sem-borda”. Para aplicar a regra através de seletores CSS, a analista deve utilizar o seletor: (A) redondo",e25795cab97e3cf2893eab81268f47b3f277e308bd4df4e8b691db873afa7262,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,59,12,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-arquitetura-software,0.89,Mensageria,DIRECT_KNOWLEDGE,"Em um ambiente de microsserviços, é muito comum utilizar o RabbitMQ como plataforma de mensageria. Trata-se de um produto de fácil configuração para execução em contêineres. Sobre o RabbitMQ, é correto afirmar que: (A) por ter sido criado na linguagem Erlang, exige a utilização de consumidores implementados na mesma li",e3a9cf372869dd2099348a3f5fd245d0088308e7d68eda445c023c2e320f763e,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,19,5,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-codificacao,0.8,Estruturas de dados,DIRECT_KNOWLEDGE,"Para uma sessão de cinema, a primeira fila tem seis poltronas livres em sequência. Um casal e seus três filhos ocuparão cinco desses lugares. O casal ficará em lugares vizinhos e, naturalmente, uma poltrona ficará vazia. O número de maneiras diferentes como essa família poderá ocupar as poltronas disponíveis é: (A) 60;",1cfaec0e421c53a3f5c9e8aae95accf57af0919b52714e8a3572e77249bfd6c5,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,54,11,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-linguagens-frameworks,0.8,Java/JakartaEE,CODE_TRACE,A analista Glenda precisa adicionar uma biblioteca de código fechado a um projeto Java com Maven. A biblioteca possui um conjunto de funções criptográficas implementadas por uma empresa terceirizada. A empresa disponibilizou a biblioteca por meio de um Java Archive (JAR) que não foi construído pelo Maven. Para que o Ma,78ca70ef290fd39fc4b264f02f1c8c791be2ee0a14bdcff7ebd09e302b9e9e21,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,55,11,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-frontend,0.78,Framework frontend,CODE_TRACE,Considere o seguinte código de um componente funcional do React Native: function printTheme(props) { const theme = useState(props?.index?0:1); try { console.log(theme); } catch (e) { console.log(e); } return <Text>{theme}</Text>; } Considere feitas as importações necessárias. Ao ser utilizado em uma aplicação React Nat,296e795a083219b1c4f6d859433fda7f4e6d29278a4731a9c192b067a1cf4c78,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,62,12,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-design-arquitetura,0.78,Containers,DIRECT_KNOWLEDGE,"Carla precisa integrar dois serviços criados com tecnologia Node.js: o primeiro é um backend na arquitetura REST e o segundo, um frontend que consome os serviços do primeiro. Os serviços executam no Docker, respectivamente, através dos contêineres back001 e front001, e apenas front001 oferece acesso no ambiente externo",31715b49c2a7569147f3c7c3eed5bf9e6d47734a8d840db4d99612632a8d8ed3,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,65,13,dp26-p3-esp-bi,dp26-p3-esp-bi-dw-etl-olap,0.74,ETL/OLAP,DIRECT_KNOWLEDGE,"A implementação de um banco de dados analítico requer a carga de dados extraídos de outros bancos. Cada banco de dados de origem implementa as suas próprias chaves para identificar seus registros. Para evitar conflitos com as chaves utilizadas nos bancos de dados de origem dos sistemas transacionais, a rotina ETL de um",c8360bfedd155bb2b29fee1606e68f9b6738433b3a28cb9fded1ae89161bb81e,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,66,13,dp26-p3-esp-bi,dp26-p3-esp-bi-dw-etl-olap,0.7,ETL/OLAP,DIRECT_KNOWLEDGE,"Depois de implementar um cubo de dados, carregando dados de diversos bancos de dados, o analista Davi precisa desenvolver a camada de visualização dos dados para que os tomadores de decisão possam analisá-los em diversas granularidades e por diferentes perspectivas. No Power BI, para visualizar dados multidimensionais ",ba54dbb7194d9f59c5393d3697c5cedf01f77684915eaed9b8fa8d5dbcaa68e9,PENDING,
wave1,P1_PRIMARY,4,A2 - muito alta,analista_judiciario_area_apoio_especializado_especialidade_analise_de_sistemas_de_informacao.pdf,53,11,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-codificacao,0.6,Estruturas de dados,DIRECT_KNOWLEDGE,"O analista Anderson foi incumbido de introduzir o suporte a paralelismo na aplicação Java NetTRF. Conforme documentação do Java Development Kit usado na NetTRF, Anderson pode implementar threads virtuais ou threads de plataforma. Enquanto um tipo de thread é escalonado diretamente pelo sistema operacional (SO), o outro",3dde0fe6e26999cd2f54b7010de19a766b802bc3c999942079eeb2dad55b475f,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,75,17,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-design-arquitetura,0.98,Containers,DIRECT_KNOWLEDGE,"A analista Ana administra o cluster Kubernetes do TJAP. Ana percebeu que o nó ANode do cluster está recusando a criação de containers de forma indevida. Para mitigar o problema, Ana deve verificar no ANode o status do agente do Kubernetes que é executado em cada nó, sendo responsável pela garantia da execução dos conta",d5c0e48e1ed762c5c37b52593cc6f844588e3030a3e1abcd1ee2fc99c8596862,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,76,17,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-devops-git,0.98,Git,DIRECT_KNOWLEDGE,"A analista Cátia criou o branch tarefa10 em um repositório Git local. Logo após, Cátia alternou o branch de trabalho atual para o branch recém-criado, tarefa10. Estando no branch local tarefa10, Cátia precisou renomear o branch para t10_concluida, com um único comando da ferramenta git. Para renomear o branch de trabal",345269fe669ce3e344655be597268df3c8e1db3708de1ec32e15fa0086e2dff2,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,50,13,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-frontend,0.89,HTML/CSS/Ajax,DIRECT_KNOWLEDGE,"Analise o código HTML exibido a seguir, cujas linhas foram numeradas somente para fins de referência. 1 <!DOCTYPE html> 2 <html> 3 <head> 4 <style> 5 img { 6 position: absolute; 7 left: 0px; 8 top: 0px; 9 ---- 10 } 11 </style> 12 </head> 13 <body> 14 15 <h1>ATENÇÃO</h1> 16 <img src=""img_tree.png""> 17 <p>Essa imagem não",b16f77e94f853e00aa7d48a1b244615f35caa0a657756973f35122e31e0fe5c1,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,56,14,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-padroes-dados-web,0.89,XML/XSLT/XPath,DIRECT_KNOWLEDGE,Observe os seguintes fragmentos de um documento XML. Fragmento 1: <table> <tr> <td>Fruta</td> <td>Quantidade</td> </tr> </table> Fragmento 2: <table> <name>Manga</name> <quantidade>10</quantidade> </table> Ambos os fragmentos possuem o elemento <table>. Para evitar conflito entre os nomes dos elementos no mesmo documen,a223ee739e385e66ccb0f45649f4f9f88ad458e297b9a939551b284e957a3273,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,55,14,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-padroes-dados-web,0.85,XML/XSLT/XPath,DIRECT_KNOWLEDGE,Um documento XML é estruturado como uma árvore rotulada ordenada. Cada nó da árvore é um elemento XML. O elemento mais alto da árvore por onde se inicia a formação do documento XML é o: (A) sibling; (B) schema; (C) attribute; (D) leaf node; (E) root node.,d7e4538a57203a656fa3f4f63a364755bb229b2f1337778154caed014213444a,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,47,12,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-frontend,0.8425,DOM; HTML/CSS/Ajax,DIRECT_KNOWLEDGE,"Analise o conteúdo de uma página Web, com o código JavaScript, exibido a seguir. <!DOCTYPE html> <html> <body> <p>Exemplo.</p> <p>Aguarde um pouco...</p> <p id=""xpto""></p> <script> ---- </script> </body> </html> Quando essa página for carregada: -- as linhas Exemplo. Aguarde um pouco... serão exibidas; -- alguns segund",755c6324843d792962e95bbf02fe0b2026b96711fb9da63cb94af403ed4e30a6,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,41,11,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-sql,0.8,SQL,DIRECT_KNOWLEDGE,"João tem pouca experiência com SQL, mas precisa de uma consulta que exiba os competidores que têm o mesmo número de disputas com as camisas azul e verde. João escreveu três scripts, utilizando as tabelas Competidor e Disputa, como definidas anteriormente, e tentou a sorte. select distinct c.nome from Competidor c, Disp",672ee5352b93d95f9bcf6a5daaeb2ba846246e4d068ea80b0f78cf636c66aa12,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,42,11,dp26-p3-esp-banco-dados,dp26-p3-esp-bd-sql,0.8,SQL,DIRECT_KNOWLEDGE,"Considerando as tabelas Competidor e Disputa, descritas anteriormente, analise o comando SQL abaixo. select c1.nome, c2.nome from Competidor c1, Competidor c2 where not exists (select * from Disputa d where d.azul = c2.nome and d.verde = c1.nome) order by 1,2 Excetuados os títulos, o número de linhas produzidas pela ex",8b1666863babbe9ba772d2c4c477776e0272f8c2f32819e19f981729dc5664c1,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,44,12,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-linguagens-frameworks,0.8,Java/JakartaEE,DIRECT_KNOWLEDGE,"Analise o código Java a seguir, no qual foi ocultada a segunda linha de código. abstract class X { --- public void exibe() { System.out.println(""Concluído""); } } class Z extends X { public void X1(String P) { System.out.println(P); } } class Main { public static void main(String[] args) { Z objZ = new Z(); objZ.X1(""OK""",8732eb0e22f55854e4652c60b9a5e09c24e492b5ffe3a3580f83225a855c2382,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,65,16,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-linguagens-frameworks,0.8,Java/JakartaEE,DIRECT_KNOWLEDGE,"O paradigma funcional, evidenciado na linguagem LISP, criada em 1958, voltou com muita força atualmente, sendo incluído em diversas linguagens, como o Java. Considere o trecho de código apresentado a seguir. List<String> lista = Arrays.asList(""UM"",""DOIS"",""TRES""); for(int i=0; i<lista.size(); i++){ System.out.println(li",61c1fc755f6df25eab08a81da4f0706992689bfe9b33c8f98754900d2f6ec7b4,PENDING,
wave1,P1_PRIMARY,5,A2 - muito alta,analista_judiciario_apoio_especializado_tecnologia_da_informacao_desenvolvimento_de_sistemas.pdf,66,16,dp26-p3-esp-desenvolvimento-sistemas,dp26-p3-esp-design-arquitetura,0.8,Arquitetura de software,DIRECT_KNOWLEDGE,"A análise orientada a objetos utiliza diagramas da UML para representar os diversos elementos de um projeto de software. Ana está modelando um sistema para Web, na arquitetura MVC, e agora precisa descrever o fluxo de mensagens entre os componentes View, Controller e DAO, segundo a cronologia com a qual ocorrem, para u",80cf3ab535041d162e3d9ca2897019dd208e7ebba5ac43055aad494fc45d94b0,PENDING,
